1	NULL_GENRE
2	NULL_GENRE
3	NULL_GENRE
4	NULL_GENRE
5	NULL_GENRE
6	Drama,Romance,Comedy
7	NULL_GENRE
8	NULL_GENRE
9	Romance,Comedy
10	Romance,Comedy
11	Fantasy,Adventure,Mystery,Kids & Family
12	NULL_GENRE
13	NULL_GENRE
14	NULL_GENRE
15	Thriller,Action,Mystery
16	NULL_GENRE
17	Fantasy,Music,Kids & Family
18	Documentary
18	NULL_GENRE
19	NULL_GENRE
20	NULL_GENRE
21	NULL_GENRE
22	Drama,Comedy
23	NULL_GENRE
24	NULL_GENRE
25	Romance,Comedy
26	NULL_GENRE
27	NULL_GENRE
28	Drama
28	NULL_GENRE
29	NULL_GENRE
30	NULL_GENRE
31	NULL_GENRE
32	NULL_GENRE
33	NULL_GENRE
34	NULL_GENRE
35	NULL_GENRE
36	Comedy
36	NULL_GENRE
37	NULL_GENRE
38	NULL_GENRE
39	Adventure,Action,Kids & Family
40	NULL_GENRE
41	NULL_GENRE
42	Drama
42	NULL_GENRE
43	Drama,Adventure,International,Action
44	NULL_GENRE
45	NULL_GENRE
46	NULL_GENRE
47	NULL_GENRE
48	Drama,Romance,Comedy
48	NULL_GENRE
49	NULL_GENRE
50	NULL_GENRE
51	NULL_GENRE
52	NULL_GENRE
53	NULL_GENRE
54	NULL_GENRE
55	NULL_GENRE
56	NULL_GENRE
57	Comedy
58	NULL_GENRE
59	Adventure,Action
60	NULL_GENRE
61	NULL_GENRE
62	NULL_GENRE
63	NULL_GENRE
64	NULL_GENRE
65	NULL_GENRE
66	Documentary,Kids & Family
67	NULL_GENRE
68	NULL_GENRE
69	NULL_GENRE
70	NULL_GENRE
71	NULL_GENRE
72	NULL_GENRE
73	NULL_GENRE
74	NULL_GENRE
75	NULL_GENRE
76	NULL_GENRE
77	NULL_GENRE
78	Drama,Documentary,Kids & Family
79	NULL_GENRE
80	Science Fiction
80	Science Fiction,International
81	NULL_GENRE
82	NULL_GENRE
83	NULL_GENRE
84	NULL_GENRE
85	Documentary
86	NULL_GENRE
87	NULL_GENRE
88	NULL_GENRE
89	Documentary,Kids & Family
90	NULL_GENRE
91	NULL_GENRE
92	NULL_GENRE
93	NULL_GENRE
94	Horror
94	NULL_GENRE
95	Mystery,Documentary
95	NULL_GENRE
96	Music,Documentary
96	NULL_GENRE
97	NULL_GENRE
98	NULL_GENRE
99	NULL_GENRE
100	NULL_GENRE
101	NULL_GENRE
102	NULL_GENRE
103	NULL_GENRE
104	NULL_GENRE
105	NULL_GENRE
106	NULL_GENRE
107	NULL_GENRE
108	NULL_GENRE
109	NULL_GENRE
